zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
America/Glace_Bay,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Goose_Bay,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Grand_Turk,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Grenada,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Guadeloupe,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Guatemala,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Guayaquil,-18000,UTC-05:00,ECT,Ecuador Time
America/Guyana,-14400,UTC-04:00,GYT,Guyana Time
America/Halifax,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Havana,-18000,UTC-05:00,CST,Cuba Standard Time
America/Hermosillo,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Indiana/Indianapolis,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Knox,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Indiana/Marengo,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Petersburg,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Tell_City,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Indiana/Vevay,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Vincennes,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Winamac,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Inuvik,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Iqaluit,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Jamaica,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Juneau,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Kentucky/Louisville,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Kentucky/Monticello,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/La_Paz,-14400,UTC-04:00,BOT,Bolivia Time
America/Lima,-18000,UTC-05:00,PET,Peru Time
America/Los_Angeles,-28800,UTC-08:00,PST,Pacific Standard Time (North America)
America/Maceio,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Managua,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Manaus,-14400,UTC-04:00,AMT,Amazon Time (Brazil)
America/Marigot,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Martinique,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Matamoros,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Mazatlan,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Menominee,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Merida,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Metlakatla,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Mexico_City,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Miquelon,-10800,UTC-03:00,PMDT,Pierre & Miquelon Daylight Time
America/Moncton,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Monterrey,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Montevideo,-10800,UTC-03:00,UYT,Uruguay Standard Time
America/Montserrat,-14400,UTC-04:00,AST,Atlantic Standard Time
